#Assay	Accession	SRA Accession	Replicate	Sample ID	Yeast Target Common Name
ChIP-exo	GSM4449150	SRX8042653	rep1	14449	Aap1
ChIP-exo	GSM4449151	SRX8042654	rep2	17031	Aap1
ChIP-exo	GSM4449152	SRX8042655	rep1	14859	Abd1
ChIP-exo	GSM4449153	SRX8043640	rep1	15254	Abf1
ChIP-exo	GSM4449154	SRX8043641	rep2	19442	Abf1
ChIP-exo	GSM4449155	SRX8043642	rep1	16021	Ace2
ChIP-exo	GSM4449156	SRX8043643	rep2	17958	Ace2
ChIP-exo	GSM4449157	SRX8043644	rep1	11920	Aco1
ChIP-exo	GSM4449158	SRX8043645	rep1	14640	Acs1
ChIP-exo	GSM4449159	SRX8043646	rep1	11926	Acs2
ChIP-exo	GSM4449160	SRX8043647	rep2	17945	Acs2
ChIP-exo	GSM4449161	SRX8043648	rep1	19993	Ada1
ChIP-exo	GSM4449162	SRX8043649	rep1	12860	Ada2
ChIP-exo	GSM4449163	SRX8043650	rep2	17019	Ada2
ChIP-exo	GSM4449164	SRX8043651	rep3	19994	Ada2
ChIP-exo	GSM4449165	SRX8043652	rep1	14183	Ade12
ChIP-exo	GSM4449166	SRX8043653	rep1	14778	Adk1
ChIP-exo	GSM4449167	SRX8043654	rep1	14405	Ado1
ChIP-exo	GSM4449168	SRX8043655	rep1	17768	Adr1
ChIP-exo	GSM4449169	SRX8043656	rep1	11942	Aft2
ChIP-exo	GSM4449170	SRX8043657	rep2	15627	Aft2
ChIP-exo	GSM4449171	SRX8043658	rep1	17594	Ahc1
ChIP-exo	GSM4449172	SRX8043659	rep1	14822	Ahc2
ChIP-exo	GSM4449173	SRX8043660	rep1	12950	Aor1
ChIP-exo	GSM4449174	SRX8043661	rep2	17794	Aor1
ChIP-exo	GSM4449175	SRX8043662	rep1	12021	Apc5
ChIP-exo	GSM4449176	SRX8043663	rep1	12040	Apc9
ChIP-exo	GSM4449177	SRX8042896	rep1	14478	Apt1
ChIP-exo	GSM4449178	SRX8042897	rep1	14851	Arg80
ChIP-exo	GSM4449179	SRX8042898	rep1	14850	Arg81
ChIP-exo	GSM4449180	SRX8042899	rep1	12032	Arg82
ChIP-exo	GSM4449181	SRX8042900	rep1	13467	Aro3
ChIP-exo	GSM4449182	SRX8042901	rep1	13439	Aro4
ChIP-exo	GSM4449183	SRX8042902	rep1	14469	Aro80
ChIP-exo	GSM4449184	SRX8042903	rep2	14970	Aro80
ChIP-exo	GSM4449185	SRX8042904	rep1	12865	Aro9
ChIP-exo	GSM4449186	SRX8042905	rep1	14377	Arp4
ChIP-exo	GSM4449187	SRX8042906	rep1	17950	Arp5
ChIP-exo	GSM4449188	SRX8042907	rep1	17158	Arp6
ChIP-exo	GSM4449189	SRX8042908	rep2	17582	Arp6
ChIP-exo	GSM4449190	SRX8042909	rep1	12434	Arp7
ChIP-exo	GSM4449191	SRX8042910	rep2	17800	Arp7
ChIP-exo	GSM4449192	SRX8042911	rep1	12090	Arp8
ChIP-exo	GSM4449193	SRX8042912	rep1	14374	ARP9
ChIP-exo	GSM4449194	SRX8042913	rep1	14860	Arr1
ChIP-exo	GSM4449195	SRX8042914	rep1	12845	Arx1
ChIP-exo	GSM4449196	SRX8042915	rep1	17557	Asf1
ChIP-exo	GSM4449197	SRX8042916	rep1	17802	Asf2
ChIP-exo	GSM4449198	SRX8042917	rep2	20419	Asf2
ChIP-exo	GSM4449199	SRX8042918	rep1	12453	Asg1
ChIP-exo	GSM4449200	SRX8042919	rep2	28363	Asg1
ChIP-exo	GSM4449201	SRX8042920	rep1	12024	Ash1
ChIP-exo	GSM4449202	SRX8042921	rep1	12111	Ask10
ChIP-exo	GSM4449203	SRX8042922	rep1	17773	Azf1
ChIP-exo	GSM4449204	SRX8042923	rep2	19305	Azf1
ChIP-exo	GSM4449205	SRX8042924	rep1	12018	Bas1
ChIP-exo	GSM4449206	SRX8042925	rep2	15649	Bas1
ChIP-exo	GSM4449207	SRX8042926	rep1	13440	Bat2
ChIP-exo	GSM4449208	SRX8042927	rep1	17139	Bcy1
ChIP-exo	GSM4449209	SRX8042928	rep2	18464	Bcy1
ChIP-exo	GSM4449210	SRX8042929	rep1	12139	Bdf1
ChIP-exo	GSM4449211	SRX8042930	rep2	15630	Bdf1
ChIP-exo	GSM4449212	SRX8042931	rep1	12116	Bdf2
ChIP-exo	GSM4449213	SRX8042932	rep2	17013	Bdf2
ChIP-exo	GSM4449214	SRX8042933	rep1	12113	Bdp1
ChIP-exo	GSM4449215	SRX8042934	rep2	14278	Bdp1
ChIP-exo	GSM4449216	SRX8042935	rep1	12854	Bem4
ChIP-exo	GSM4449217	SRX8042936	rep1	14765	Bim1
ChIP-exo	GSM4449218	SRX8042937	rep1	14769	Bmh1
ChIP-exo	GSM4449219	SRX8042938	rep1	13446	Bmh2
ChIP-exo	GSM4449220	SRX8042939	rep1	11752	Bre1
ChIP-exo	GSM4449221	SRX8042940	rep2	13789	Bre1
ChIP-exo	GSM4449222	SRX8042941	rep1	14798	Bre2
ChIP-exo	GSM4449223	SRX8042942	rep2	17951	Bre2
ChIP-exo	GSM4449224	SRX8042943	rep1	13145	Brf1
ChIP-exo	GSM4449225	SRX8042992	rep2	15488	Brf1
ChIP-exo	GSM4449226	SRX8042993	rep1	12943	Brn1
ChIP-exo	GSM4449227	SRX8042994	rep2	17986	Brn1
ChIP-exo	GSM4449228	SRX8042995	rep1	12870	Bud17
ChIP-exo	GSM4449229	SRX8042996	rep1	13462	Bud20
ChIP-exo	GSM4449230	SRX8042997	rep1	17145	Bud22
ChIP-exo	GSM4449231	SRX8042998	rep1	14493	Bud32
ChIP-exo	GSM4449232	SRX8042999	rep1	11903	Bud6
ChIP-exo	GSM4449233	SRX8043000	rep1	12877	Bur2
ChIP-exo	GSM4449234	SRX8043001	rep2	14631	Bur2
ChIP-exo	GSM4449235	SRX8043002	rep1	17876	Bur6
ChIP-exo	GSM4449236	SRX8043003	rep2	19995	Bur6
ChIP-exo	GSM4449237	SRX8043004	rep3	20420	Bur6
ChIP-exo	GSM4449238	SRX8043005	rep1	13149	Bye1
ChIP-exo	GSM4449239	SRX8043006	rep2	17799	Bye1
ChIP-exo	GSM4449240	SRX8043007	rep1	16029	Cac2
ChIP-exo	GSM4449241	SRX8043008	rep1	14777	Cad1
ChIP-exo	GSM4449242	SRX8043009	rep2	20421	Cad1
ChIP-exo	GSM4449243	SRX8043010	rep1	17598	Caf120
ChIP-exo	GSM4449244	SRX8043011	rep1	12457	Caf130
ChIP-exo	GSM4449245	SRX8043012	rep1	16544	Caf16
ChIP-exo	GSM4449246	SRX8043013	rep1	17030	Caf4
ChIP-exo	GSM4449247	SRX8043014	rep1	13158	Caf40
ChIP-exo	GSM4449248	SRX8043015	rep1	11922	Cam1
ChIP-exo	GSM4449249	SRX8043424	rep1	14757	Car1
ChIP-exo	GSM4449250	SRX8043425	rep1	12844	Car2
ChIP-exo	GSM4449251	SRX8043426	rep1	14357	Cbc2
ChIP-exo	GSM4449252	SRX8043427	rep2	14988	Cbc2
ChIP-exo	GSM4449253	SRX8043428	rep1	10352	Cbf1
ChIP-exo	GSM4449254	SRX8043429	rep2	24636	Cbf1
ChIP-exo	GSM4449255	SRX8043430	rep1	12435	Cca1
ChIP-exo	GSM4449256	SRX8043431	rep2	17016	Cca1
ChIP-exo	GSM4449257	SRX8043432	rep1	14529	Ccl1
ChIP-exo	GSM4449258	SRX8043433	rep2	16571	Ccl1
ChIP-exo	GSM4449259	SRX8043434	rep1	12091	Ccr4
ChIP-exo	GSM4449260	SRX8043435	rep1	12095	Cdc26
ChIP-exo	GSM4449261	SRX8043436	rep1	12087	Cdc28
ChIP-exo	GSM4449262	SRX8043437	rep1	13480	Cdc33
ChIP-exo	GSM4449263	SRX8043438	rep1	12934	Cdc36
ChIP-exo	GSM4449264	SRX8043439	rep1	12940	Cdc39
ChIP-exo	GSM4449265	SRX8043440	rep1	17942	Cdc46
ChIP-exo	GSM4449266	SRX8043441	rep2	18483	Cdc46
ChIP-exo	GSM4449267	SRX8043442	rep1	12029	Cdc47
ChIP-exo	GSM4449268	SRX8043443	rep1	13456	Cdc48
ChIP-exo	GSM4449269	SRX8043444	rep1	12010	Cdc53
ChIP-exo	GSM4449270	SRX8043445	rep1	13450	Cdc55
ChIP-exo	GSM4449271	SRX8043446	rep1	14403	Cdd1
ChIP-exo	GSM4449272	SRX8043447	rep1	23472	Cet1
ChIP-exo	GSM4449273	SRX8043472	rep1	12427	Cft1
ChIP-exo	GSM4449274	SRX8043473	rep2	17809	Cft1
ChIP-exo	GSM4449275	SRX8043474	rep1	12003	Cha4
ChIP-exo	GSM4449276	SRX8043475	rep2	20422	Cha4
ChIP-exo	GSM4449277	SRX8043476	rep1	12056	Chd1
ChIP-exo	GSM4449278	SRX8043477	rep2	18003	Chd1
ChIP-exo	GSM4449279	SRX8043478	rep1	18006	Chz1
ChIP-exo	GSM4449280	SRX8043479	rep1	12011	Cin5
ChIP-exo	GSM4449281	SRX8043480	rep2	17890	Cin5
ChIP-exo	GSM4449282	SRX8043481	rep1	12841	Cka1
ChIP-exo	GSM4449283	SRX8043482	rep2	20423	Cka1
ChIP-exo	GSM4449284	SRX8043483	rep1	20424	Cka2
ChIP-exo	GSM4449285	SRX8043484	rep2	20994	Cka2
ChIP-exo	GSM4449286	SRX8043485	rep1	14396	Ckb1
ChIP-exo	GSM4449287	SRX8043486	rep1	12875	Ckb2
ChIP-exo	GSM4449288	SRX8043487	rep2	18481	Ckb2
ChIP-exo	GSM4449289	SRX8043488	rep1	14451	Cks1
ChIP-exo	GSM4449290	SRX8043489	rep1	15001	Cln1
ChIP-exo	GSM4449291	SRX8043490	rep2	17956	Cln1
ChIP-exo	GSM4449292	SRX8043491	rep1	28330	Cmr3
ChIP-exo	GSM4449293	SRX8043492	rep1	13805	Cpr1
ChIP-exo	GSM4449294	SRX8043493	rep1	17927	Crm1
ChIP-exo	GSM4449295	SRX8043494	rep1	12876	Crz1
ChIP-exo	GSM4449296	SRX8043495	rep2	17034	Crz1
ChIP-exo	GSM4449297	SRX8043568	rep1	12053	Cse2
ChIP-exo	GSM4449298	SRX8043569	rep2	13817	Cse2
ChIP-exo	GSM4449299	SRX8043570	rep1	26215	Cse4
ChIP-exo	GSM4449300	SRX8043571	rep1	14536	Csl4
ChIP-exo	GSM4449301	SRX8043572	rep1	12051	Csn12
ChIP-exo	GSM4449302	SRX8043573	rep2	17589	Csn12
ChIP-exo	GSM4449303	SRX8043574	rep1	14866	Csr2
ChIP-exo	GSM4449304	SRX8043575	rep1	20077	CTDSer2
ChIP-exo	GSM4449305	SRX8043576	rep2	20081	CTDSer2
